AP,Score
WAP001,-0.0
WAP002,-0.0
WAP003,-0.0
WAP004,-0.0
WAP005,-0.0
WAP006,0.462698522430862
WAP007,-0.0
WAP008,0.8462142397068173
WAP009,-0.0
WAP010,0.1617117660133179
WAP011,0.2089773131481645
WAP012,0.1947090437684332
WAP013,-0.0
WAP014,-0.0
WAP015,1.3495295724673195
WAP016,1.33082225451507
WAP017,0.007574363468297004
WAP018,-0.0
WAP019,-0.0
WAP020,-0.0
WAP021,0.07916063422252838
WAP022,0.08065686930929077
WAP023,0.11560584454148538
WAP024,0.1091878396773091
WAP025,-0.0
WAP026,-0.0
WAP027,0.11454545674234634
WAP028,0.09981748071043758
WAP029,0.08451581350815286
WAP030,0.09744772152440331
WAP031,-0.0
WAP032,-0.0
WAP033,-0.0
WAP034,-0.0
WAP035,0.32383840545224074
WAP036,0.2975109195534717
WAP037,1.1940337953271278
WAP038,1.0299144527039241
WAP039,-0.0
WAP040,-0.0
WAP041,-0.0
WAP042,-0.0
WAP043,0.011030849019779018
WAP044,0.009072613782845164
WAP045,0.2475332080803048
WAP046,0.2674249484273416
WAP047,-0.0
WAP048,-0.0
WAP049,0.0049213252755086175
WAP050,0.002653145096220489
WAP051,0.01293312352194971
WAP052,0.01293312352195003
WAP053,-0.0
WAP054,-0.0
WAP055,0.06905740034244903
WAP056,0.0739008031660545
WAP057,-0.0
WAP058,-0.0
WAP059,0.0183857487049761
WAP060,-0.0
WAP061,-0.0
WAP062,-0.0
WAP063,-0.0
WAP064,-0.0
WAP065,-0.0
WAP066,-0.0
WAP067,-0.0
WAP068,-0.0
WAP069,0.0049213252755084536
WAP070,-0.0
WAP071,-0.0
WAP072,-0.0
WAP073,-0.0
WAP074,-0.0
WAP075,-0.0
WAP076,-0.0
WAP077,0.08077156594841668
WAP078,0.06161854775018656
WAP079,-0.0
WAP080,-0.0
WAP081,-0.0
WAP082,0.2410027337565385
WAP083,0.2429328672709799
WAP084,0.1745959688077653
WAP085,0.1837611859241458
WAP086,0.08759483715906556
WAP087,-0.0
WAP088,1.019130688464192
WAP089,1.0734366193562228
WAP090,1.3270553964952536
WAP091,1.3330139242806371
WAP092,-0.0
WAP093,-0.0
WAP094,-0.0
WAP095,-0.0
WAP096,-0.0
WAP097,-0.0
WAP098,-0.0
WAP099,-0.0
WAP100,-0.0
WAP101,1.1592154311184149
WAP102,1.1661211475559083
WAP103,1.2955399586712106
WAP104,1.3798575986977868
WAP105,1.1350599286454908
WAP106,1.2712544338889378
WAP107,1.4833639187000636
WAP108,1.4806794347155439
WAP109,0.7050037546311148
WAP110,0.6940572703675574
WAP111,0.806998815965087
WAP112,0.8001541157154868
WAP113,1.2660842641830388
WAP114,1.226868574884361
WAP115,1.215205977791135
WAP116,1.2488378589416897
WAP117,-0.0
WAP118,-0.0
WAP119,1.3519743327404343
WAP120,1.3246346980450234
WAP121,0.047848569795527526
WAP122,0.05917429639559428
WAP123,1.0089770177770663
WAP124,1.0292907835706888
WAP125,1.127086651930338
WAP126,1.1298105538825887
WAP127,0.012350085542541227
WAP128,-0.0
WAP129,0.8199635742278132
