AP,Score
WAP001,0.0
WAP002,0.0
WAP003,0.0
WAP004,0.0
WAP005,0.0
WAP006,0.0
WAP007,0.0
WAP008,0.0
WAP009,0.0
WAP010,0.0
WAP011,0.0
WAP012,0.0
WAP013,0.0
WAP014,0.0
WAP015,0.0
WAP016,0.0
WAP017,0.0
WAP018,0.0
WAP019,0.0
WAP020,0.0
WAP021,0.0
WAP022,0.0
WAP023,0.0
WAP024,0.0
WAP025,0.0
WAP026,0.0
WAP027,0.0
WAP028,0.0
WAP029,0.0
WAP030,0.0
WAP031,0.0
WAP032,0.0
WAP033,0.0
WAP034,0.0
WAP035,0.0
WAP036,0.0
WAP037,0.0
WAP038,0.0
WAP039,0.0
WAP040,0.0
WAP041,0.0
WAP042,0.0
WAP043,0.0
WAP044,0.0
WAP045,0.0
WAP046,0.0
WAP047,0.0
WAP048,0.0
WAP049,0.0
WAP050,0.0
WAP051,0.0
WAP052,0.0
WAP053,0.0
WAP054,0.0
WAP055,0.0
WAP056,0.0
WAP057,0.0
WAP058,0.0
WAP059,0.0
WAP060,0.0
WAP061,0.0
WAP062,0.0
WAP063,0.0
WAP064,0.0
WAP065,0.0
WAP066,0.0
WAP067,0.0
WAP068,0.0
WAP069,0.0
WAP070,0.0
WAP071,0.0
WAP072,0.0
WAP073,0.0
WAP074,0.0
WAP075,0.0
WAP076,0.0
WAP077,0.0
WAP078,0.0
WAP079,0.0
WAP080,0.0
WAP081,0.0
WAP082,0.0
WAP083,0.0
WAP084,0.0
WAP085,0.0
WAP086,0.0
WAP087,0.0
WAP088,0.0
WAP089,0.0
WAP090,0.0
WAP091,0.0
WAP092,0.0
WAP093,0.0
WAP094,0.0
WAP095,0.0
WAP096,0.0
WAP097,0.0
WAP098,0.0
WAP099,0.0
WAP100,0.0
WAP101,0.0
WAP102,0.0
WAP103,0.0
WAP104,0.0
WAP105,0.0
WAP106,0.0
WAP107,0.0
WAP108,0.0
WAP109,0.0
WAP110,0.0
WAP111,0.0
WAP112,0.0
WAP113,0.0
WAP114,0.0
WAP115,0.0
WAP116,0.0
WAP117,0.0
WAP118,0.0
WAP119,0.0
WAP120,0.0
WAP121,0.0
WAP122,0.0
WAP123,0.0
WAP124,0.0
WAP125,0.0
WAP126,0.0
WAP127,0.0
WAP128,0.0
WAP129,0.0
WAP130,0.0
WAP131,0.0
WAP132,0.0
WAP133,0.0
WAP134,0.0
WAP135,0.0
WAP136,0.0
WAP137,0.0
WAP138,0.0
WAP139,0.0
WAP140,0.0
WAP141,0.0
WAP142,0.0
WAP143,0.0
WAP144,0.0
WAP145,0.0
WAP146,0.0
WAP147,0.0
WAP148,0.0
WAP149,0.0
WAP150,0.0
WAP151,0.0
WAP152,0.0
WAP153,0.0
WAP154,0.0
WAP155,0.0
WAP156,0.0
WAP157,0.0
WAP158,0.0
WAP159,0.0
WAP160,0.0
WAP161,0.0
WAP162,0.0
WAP163,0.0
WAP164,0.0
WAP165,0.0
WAP166,0.0
WAP167,0.0
WAP168,0.0
WAP169,0.0
WAP170,0.0
WAP171,0.0
WAP172,0.0
WAP173,0.0
WAP174,0.0
