AP,Score
WAP001,0.0
WAP002,0.0
WAP003,0.0
WAP004,0.0
WAP005,0.0
WAP006,0.0018929405298502998
WAP007,0.0
WAP008,0.00559397622766315
WAP009,0.0
WAP010,0.00022703111899748923
WAP011,0.0005106678950543574
WAP012,0.0005938358204686244
WAP013,0.0
WAP014,0.0
WAP015,0.005327707629571986
WAP016,0.0044589835525363835
WAP017,3.2729358723007117e-06
WAP018,0.0
WAP019,0.0
WAP020,0.0
WAP021,5.525882106814467e-05
WAP022,5.849163764879287e-05
WAP023,0.00033585172969606867
WAP024,0.0003318057737312214
WAP025,0.0
WAP026,0.0
WAP027,0.00036816870041486466
WAP028,0.0006574350993683572
WAP029,0.0001148981011966483
WAP030,0.00012156336584522675
WAP031,0.0
WAP032,0.0
WAP033,0.0
WAP034,0.0
WAP035,0.0009408175646228978
WAP036,0.0009716510437921885
WAP037,0.009977604590996187
WAP038,0.008635617724931197
WAP039,0.0
WAP040,0.0
WAP041,0.0
WAP042,0.0
WAP043,2.6099424118963713e-05
WAP044,2.137162179572829e-05
WAP045,0.00026457273814959014
WAP046,0.0008925645254537741
WAP047,0.0
WAP048,0.0
WAP049,3.329043059535014e-07
WAP050,2.9597191108175066e-07
WAP051,2.838595668476833e-05
WAP052,3.204508391366425e-05
WAP053,0.0
WAP054,0.0
WAP055,7.723315448029911e-05
WAP056,8.669790676680326e-05
WAP057,0.0
WAP058,0.0
WAP059,2.809250224410446e-05
WAP060,0.0
WAP061,0.0
WAP062,0.0
WAP063,0.0
WAP064,0.0
WAP065,0.0
WAP066,0.0
WAP067,0.0
WAP068,0.0
WAP069,6.251203078460191e-06
WAP070,0.0
WAP071,0.0
WAP072,0.0
WAP073,0.0
WAP074,0.0
WAP075,0.0
WAP076,0.0
WAP077,0.00019675589868550588
WAP078,0.00015769344609949736
WAP079,0.0
WAP080,0.0
WAP081,0.0
WAP082,0.0011874414259232069
WAP083,0.001079363394221555
WAP084,0.0008106121252010373
WAP085,0.0008444471839934979
WAP086,0.00020850418892307421
WAP087,0.0
WAP088,0.009996699878295809
WAP089,0.00986247542375943
WAP090,0.009567379093874109
WAP091,0.009422740825629132
WAP092,0.0
WAP093,0.0
WAP094,0.0
WAP095,0.0
WAP096,0.0
WAP097,0.0
WAP098,0.0
WAP099,0.0
WAP100,0.0
WAP101,0.011771105723009413
WAP102,0.011537866753412016
WAP103,0.011616139131787466
WAP104,0.012951639843924511
WAP105,0.013244559836657073
WAP106,0.011377532434554036
WAP107,0.012931087496734384
WAP108,0.012946120309617577
WAP109,0.005139071513029697
WAP110,0.005151388274437385
WAP111,0.008450475291165152
WAP112,0.008325632070854948
WAP113,0.015791700313424365
WAP114,0.015597073030337817
WAP115,0.01369081879230812
WAP116,0.013219659116581885
WAP117,0.0
WAP118,0.0
WAP119,0.010731812748755115
WAP120,0.010198185794108795
WAP121,7.88869402628107e-05
WAP122,0.00012139085680797728
WAP123,0.010962316100399007
WAP124,0.011054738617390394
WAP125,0.007696798953482974
WAP126,0.007431692985188337
WAP127,5.216251405384804e-05
WAP128,0.0
WAP129,0.006831695646969987
