,WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010,WAP011,WAP012,WAP013,WAP014,WAP015,WAP016,WAP017,WAP018,WAP019,WAP020,WAP021,WAP022,WAP023,WAP024,WAP025,WAP026,WAP027,WAP028,WAP029,WAP030,WAP031,WAP032,WAP033,WAP034,WAP035,WAP036,WAP037,WAP038,WAP039,WAP040,WAP041,WAP042,WAP043,WAP044,WAP045,WAP046,WAP047,WAP048,WAP049,WAP050,WAP051,WAP052,WAP053,WAP054,WAP055,WAP056,WAP057,WAP058,WAP059,WAP060,WAP061,WAP062,WAP063,WAP064,WAP065,WAP066,WAP067,WAP068,WAP069,WAP070,WAP071,WAP072,WAP073,WAP074,WAP075,WAP076,WAP077,WAP078,WAP079,WAP080,WAP081,WAP082,WAP083,WAP084,WAP085,WAP086,WAP087,WAP088,WAP089,WAP090,WAP091,WAP092,WAP093,WAP094,WAP095,WAP096,WAP097,WAP098,WAP099,WAP100,WAP101,WAP102,WAP103,WAP104,WAP105,WAP106,WAP107,WAP108,WAP109,WAP110,WAP111,WAP112,WAP113,WAP114,WAP115,WAP116,WAP117,WAP118,WAP119,WAP120,WAP121,WAP122,WAP123,WAP124,WAP125,WAP126,WAP127,WAP128,WAP129,WAP130,WAP131,WAP132,WAP133,WAP134,WAP135,WAP136,WAP137,WAP138,WAP139,WAP140,WAP141,WAP142,WAP143,WAP144,WAP145,WAP146,WAP147,WAP148,WAP149,WAP150,WAP151,WAP152,WAP153,WAP154,WAP155,WAP156,WAP157,WAP158,WAP159,WAP160,WAP161,WAP162,WAP163,WAP164,WAP165,WAP166,WAP167,WAP168,WAP169,WAP170,WAP171,WAP172,WAP173,WAP174,WAP175,WAP176,WAP177,WAP178,WAP179,WAP180,WAP181,WAP182,WAP183,WAP184,WAP185,WAP186,WAP187,WAP188,WAP189,WAP190,WAP191,WAP192,WAP193,WAP194,WAP195,WAP196,WAP197,WAP198,WAP199,WAP200,WAP201,WAP202,WAP203,WAP204,WAP205,WAP206,WAP207,WAP208,WAP209,WAP210,WAP211,WAP212,WAP213,WAP214,WAP215,WAP216,WAP217,WAP218,WAP219,WAP220,WAP221,WAP222,WAP223,WAP224,WAP225,WAP226,WAP227,WAP228,WAP229,WAP230,WAP231,WAP232,WAP233,WAP234,WAP235,WAP236,WAP237,WAP238,WAP239,WAP240,WAP241,WAP242,WAP243,WAP244,WAP245,WAP246,WAP247,WAP248,WAP249,WAP250,WAP251,WAP252,WAP253,WAP254,WAP255,WAP256,WAP257,WAP258,WAP259,WAP260,WAP261,WAP262,WAP263,WAP264,WAP265,WAP266,WAP267,WAP268,WAP269,WAP270,WAP271,WAP272,WAP273,WAP274,WAP275,WAP276,WAP277,WAP278,WAP279,WAP280,WAP281,WAP282,WAP283,WAP284,WAP285,WAP286,WAP287,WAP288,WAP289,WAP290,WAP291,WAP292,WAP293,WAP294,WAP295,WAP296,WAP297,WAP298,WAP299,WAP300,WAP301,WAP302,WAP303,WAP304,WAP305,WAP306,WAP307,WAP308,WAP309,WAP310,WAP311,WAP312,WAP313,WAP314,WAP315,WAP316,WAP317,WAP318,WAP319,WAP320,WAP321,WAP322,WAP323,WAP324,WAP325,WAP326,WAP327,WAP328,WAP329,WAP330,WAP331,WAP332,WAP333,WAP334,WAP335,WAP336,WAP337,WAP338,WAP339,WAP340,WAP341,WAP342,WAP343,WAP344,WAP345,WAP346,WAP347,WAP348,WAP349,WAP350,WAP351,WAP352,WAP353,WAP354,WAP355,WAP356,WAP357,WAP358,WAP359,WAP360,WAP361,WAP362,WAP363,WAP364,WAP365,WAP366,WAP367,WAP368,WAP369,WAP370,WAP371,WAP372,WAP373,WAP374,WAP375,WAP376,WAP377,WAP378,WAP379,WAP380,WAP381,WAP382,WAP383,WAP384,WAP385,WAP386,WAP387,WAP388,WAP389,WAP390,WAP391,WAP392,WAP393,WAP394,WAP395,WAP396,WAP397,WAP398,WAP399,WAP400,WAP401,WAP402,WAP403,WAP404,WAP405,WAP406,WAP407,WAP408,WAP409,WAP410,WAP411,WAP412,WAP413,WAP414,WAP415,WAP416,WAP417,WAP418,WAP419,WAP420,WAP421,WAP422,WAP423,WAP424,WAP425,WAP426,WAP427,WAP428,WAP429,WAP430,WAP431,WAP432,WAP433,WAP434,WAP435,WAP436,WAP437,WAP438,WAP439,WAP440,WAP441,WAP442,WAP443,WAP444,WAP445,WAP446,WAP447,WAP448,WAP449,WAP450,WAP451,WAP452,WAP453,WAP454,WAP455,WAP456,WAP457,WAP458,WAP459,WAP460,WAP461,WAP462,WAP463,WAP464,WAP465,WAP466,WAP467,WAP468,WAP469,WAP470,WAP471,WAP472,WAP473,WAP474,WAP475,WAP476,WAP477,WAP478,WAP479,WAP480,WAP481,WAP482,WAP483,WAP484,WAP485,WAP486,WAP487,WAP488,WAP489,WAP490,WAP491,WAP492,WAP493,WAP494,WAP495,WAP496,WAP497,WAP498,WAP499,WAP500,WAP501,WAP502,WAP503,WAP504,WAP505,WAP506,WAP507,WAP508,WAP509,WAP510,WAP511,WAP512,WAP513,WAP514,WAP515,WAP516,WAP517,WAP518,WAP519,WAP520
WAP001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAP002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAP003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAP004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAP005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAP006,,,,,,1.0,,0.06681691150447784,,0.026419135256410223,0.0017109789547358467,0.012964930368918704,,,0.09570165045905436,0.09601422452883641,0.0051171021839108415,,,,0.017597361468001484,0.017630430545291044,0.02242419952365715,0.022030187346303475,,,0.022424319599510967,0.02087806278264435,0.01813659297207187,0.01872755186593846,,,,,0.038422300608485206,0.03550933463085913,0.0817868927519767,0.07289145300525796,,,,,0.006618031428215167,0.005920456223547142,0.033851549527105895,0.031000008236679647,,,0.004185588659864221,0.0029593732545255967,0.007252445380667962,0.007252445380667943,,,0.01570931452123645,0.01651292690476493,,,0.008884963564757773,,,,,,,,,,0.00418558865986427,,,,,,,,0.018335889333366183,0.016314582406310008,,,,0.03227303347950563,0.03328670425199856,0.025828370112820676,0.027300171793348465,0.017700328830083215,,0.0715801916078273,0.0744366148547408,0.09109759116907912,0.09103944483814899,,,,,,,,,,0.37569795656324817,0.3783174300825635,0.09067026689596584,0.0949401365755764,0.08778842559170469,0.08872183866251558,0.1970195112716009,0.19607908852345357,0.037799390875255856,0.03576418229993289,0.06158535405126311,0.06339246750679327,0.000634214636250609,0.0011322094535567444,0.016298233598951082,0.007538297961109129,,,0.09265358119219758,0.0917426176251553,0.013957677588041865,0.016439345650436414,0.07769653357226962,0.0790975660063257,0.0785028315136376,0.07839201318759124,0.0065760900485708675,,0.06310623005147717,0.06322738790531589,0.010282207250555614,0.06041762321073572,0.009366476854242807,0.06829233962032506,0.06816628523445074,0.06269880938346077,0.0650578681834327,,,0.45408912112206334,0.4564964945578386,0.01948473843820312,0.02688122185199369,0.007160436849710287,0.015947319402824147,0.20002083934675927,0.18842229685442938,0.07373347020512773,0.07384907598845453,0.05336080921839429,0.05660592190869487,,,,0.020101938772303114,0.022560838200733978,,,,,,,,0.05162526597237418,0.050443565298649434,0.09138448138268958,0.09238207044800378,0.06979052276098226,0.0709358999628015,0.08136804142102193,0.07987663473404663,0.09356916493600265,0.09446609978449222,0.05943775672296585,0.04586174169881229,0.037679809389375006,0.036440042136602124,0.08806346425732063,0.09009812626168305,0.023119297804993583,0.028088013065771588,0.06145072350443013,0.06237864381863436,0.06665672005595616,0.0680476702640949,0.05750906782624783,0.05814067021434995,0.06792854757667123,0.07352645144703374,0.0029593732545256032,0.06765933416567584,0.06858367969909313,0.009366476854242873,0.007709152192085171,,,,0.008868267220027842,,,,,,,,0.006590060738868887,,0.007812104456280167,0.007774143144087058,,,,,,,,,,,,,0.07497904343397822,0.08101396004468726,,,,,,,,,,,,,,,,,,,,,,,,,0.07887113628962027,,,,,,,0.055818562858659874,0.05434233992333151,0.065237508373387,0.04088053140183877,0.023496657265452088,0.02968098992028352,0.008266175716688732,0.04455227301970277,0.04412492461705256,,,,,0.02587381385790665,,,,,,0.007703642128194356,,,,0.007245803188865391,,,,0.01856513748546014,,0.035550293834441214,,0.021720477007250827,,0.044253761872908116,0.0076323696388999095,,,,,0.0076669329135590405,0.06474968879409963,,,,,,,,,,,,,0.010102806072199887,,0.060042971297677335,0.0513241354603797,0.0678136696170357,0.03935610028678365,0.01998105321644917,0.031354588551390915,0.0026484224469976946,0.044029166293361725,0.039418728009939695,,,,0.004128617738506112,0.025918379844699625,,,,,,0.012928545305956466,,,,,0.02785393617336468,,,,0.016218933821989648,,0.057982930080599654,,0.02479872911322375,0.002959373254525631,0.04064258961794632,0.007793110895328232,,,,,0.00586855778454288,0.06903496147120892,,,,,,,,,,,0.009739560297923286,,0.012515800252926193,,0.05344411170567164,0.052418479126352543,0.066122393028303,0.03873813074736618,0.02111344166620262,0.022654119023446807,0.005165680878661349,0.00418558865986421,0.04366193104900561,0.04104886082696299,,,,,0.02602500997698896,,,,,,0.009937406509833229,,,,0.018209057762329207,,,,0.016076098324591403,,0.03167534096785518,,0.020646604402025252,,0.040940367905151556,0.00796186238668298,,,0.00827664805592096,0.05920462189438109,,0.0029593732545255946,,,,,,0.009526346459058215,,0.012710645030181322,,,0.008404637156351227,,,,,,,,,,,,,,0.07059037417946501,,,,,,,0.010175234452909,,,,,,,0.0077392007097129185,,,0.008809164630747579,,,,,0.00418558865986421,,,,,,,,,,,,,,0.008801632865432557,,0.0029593732545256154,,,,,,,,0.003277041878756605,,,,,,,,,,,0.011477078546471236,0.009963449674401912,,,,,,,,,,,,,0.009080268470016065,,,,,,,,,,,,,,,,,
WAP007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAP008,,,,,,0.06681691150447784,,1.0,,0.03879894839110154,0.04501714521906822,0.04395328668449141,,,0.14054674239207604,0.1410057863798572,0.039522481042771763,,,,0.025843356067110284,0.025891921071628212,0.02753268354885366,0.026921220853957296,,,0.002560307333686641,0.004969334112735714,0.004566131133924286,0.02039848743244559,,,,,0.22753979380493086,0.1815806962056871,0.04280826792651312,0.1048650184268354,,,,,0.009719192446759044,0.008694738614256757,0.015069583883789464,0.01678941864757977,,,0.006146924826430445,0.004346113870039956,0.010650888127216204,0.010650888127216207,,,0.003929751678071037,0.005185945322086863,,,0.01304839236637056,,,,,,,,,,0.0061469248264304594,,,,,,,,0.0269279526769375,0.023959476139598975,,,,0.047395940413750316,0.0488846098802498,0.03793135503140495,0.0400928321914444,0.02599457318033506,,0.10512214472816186,0.10931706697162463,0.07136364199029689,0.08030847981206934,,,,,,,,,,0.12567498536106733,0.12532099791245313,0.5579858688654382,0.6001221391087326,0.5416761370166182,0.5430912532075828,0.1521758500733255,0.15393174407180504,0.08937442146740458,0.08801567515182032,0.09676194117253667,0.09638989216300686,0.13387673413035328,0.13344948556610836,0.12922162813034463,0.13201321995396176,,,0.04662418182600785,0.06705297949088904,0.020498142999085242,0.02414270252543568,0.11410455970569922,0.11550332994276816,0.748250230590651,0.7181408961808464,0.009657597644034479,,0.08280083750538529,0.0801705263640832,0.0324553903173875,0.031760206727006135,0.013755539253921659,0.5043294893386822,0.5025290406073095,0.07619979901760339,0.052767085802459514,,,0.1391761601638747,0.13660848414650625,0.014228354928380262,0.011576707588671303,0.058942191666586374,0.06364528251452654,0.10500706348780887,0.10540715500053825,0.10828443389309882,0.10845421169912701,0.9089962002356387,0.9252338722085972,,,,0.016257348554115408,0.5089586814792774,,,,,,,,0.07581648720516079,0.07447815334607034,0.13259890935492877,0.13408296885494336,0.08987847104915617,0.09391803914801902,0.1085729984493532,0.10794952370117579,0.31404683555894,0.30712481041676193,0.09083079226303375,0.0903740730537576,0.10874786267529093,0.10909017917823986,0.1293293581224382,0.13286137486756003,0.10457769523404567,0.10751456046026132,0.09024608211829116,0.09160881909027961,0.09789157049505022,0.09993430977536355,0.08508142331721298,0.0859512947688619,0.11454588048702179,0.11888581444864467,0.028392557041452958,0.04208087338677501,0.048190282805001344,0.07432023909978885,0.0611221949406705,,,,0.013023872236880705,,,,,,,,0.009678114897404033,,0.01147279934348214,0.011417049638643411,,,,,,,,,,,,,0.08206399399741166,0.09160706917407316,,,,,,,,,,,,,,,,,,,,,,,,,0.3359956934849623,,,,,,,0.08377025333629022,0.07980676209398134,0.09580732662053969,0.08949354139994445,0.09209826376592495,0.08644849450822976,0.09243364176396196,0.10608610193573245,0.0874392393042451,,,,,0.4324208584250408,,,,,,0.09851583981826179,,,,0.10403269046636436,,,,0.08176523129506245,,0.12661576550798742,,0.03189853332651998,,0.10775626286170807,0.07162406421617662,,,,,0.05818529177177854,0.11523193315769745,,,,,,,,,,,,,0.014836906946282015,,0.09119064855805237,0.07684527129545214,0.09959065814026578,0.0866614561611087,0.09460940308249839,0.08348147868021605,0.09023062131454081,0.10465188018978924,0.08530740200420381,,,,0.006063257748908278,0.47922702539846945,,,,,,0.09746425901751914,,,,,0.10591156705841345,,,,0.08408416215097565,,0.12031331228795969,,0.03641923180643928,0.028392557041452965,0.10530531553167027,0.05614173540806939,,,,,0.05574870795842816,0.11427262599693416,,,,,,,,,,,0.014303446864691045,,0.01838061251337889,,0.08594934150227353,0.07698139422901519,0.097106861738739,0.08579036225575765,0.08336475502611705,0.08357627688539364,0.08868460132519022,0.03629834362308524,0.10268864104630389,0.0883678547605612,,,,,0.44780466112146866,,,,,,0.09188178452647931,,,,0.09332329519755327,,,,0.07844593160586551,,0.11554012882850659,,0.03032145188973623,,0.10232756086073623,0.040852184602291,,,0.07854827682171069,0.11290348384268611,,0.026573741990814297,,,,,,0.013990322583744308,,0.018666760125086345,,,0.020387049545411793,,,,,,,,,,,,,,0.023429877497907394,,,,,,,0.014943274735307124,,,,,,,0.011365733435641933,,,0.012937074607472756,,,,,0.006146924826430492,,,,,,,,,,,,,,0.012926013512137333,,0.004346113870039927,,,,,,,,0.10332717773671468,,,,,,,,,,,0.0168551534288811,0.014632249161927447,,,,,,,,,,,,,0.08750575475684112,,,,,,,,,,,,,,,,,
WAP009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAP010,,,,,,0.026419135256410223,,0.03879894839110154,,1.0,0.017799596264193075,0.017378950923278416,,,0.03596186285555744,0.044153255121901866,0.0029713762440553154,,,,0.11416594546277979,0.13923938018447146,0.013021184913221162,0.012792391666266244,,,0.013021254638336451,0.01212338107480039,0.01053147652098042,0.010874631915447512,,,,,0.02231089143167148,0.020619403242736468,0.027159010874339803,0.02097293414272024,,,,,0.0038429291934093672,0.003437864311549153,0.01965676792727802,0.018000947553794864,,,0.002430469094483192,0.001718435761052059,0.004211317878931919,0.004211317878931921,,,0.009122015215087943,0.009588653296569579,,,0.005159281311330176,,,,,,,,,,0.0024304690944831945,,,,,,,,0.010647203049822924,0.0094734794912269,,,,0.018740162216442886,0.019328776073353992,0.014997903621547133,0.01585254290610751,0.010278148590239802,,0.22248231672284255,0.2149112621978646,0.04352046357192559,0.045729908951588454,,,,,,,,,,0.04969137845257807,0.04955141325404603,0.052650009207148483,0.055129418231087766,0.050976594355762156,0.05151860452574054,0.0601697126569064,0.06086398600772807,0.14826622917846077,0.16360501585928947,0.20463666656958818,0.20649045511037312,0.05302693951232031,0.05276538423708953,0.049771414975383316,0.05152466609918392,,,0.013998516192712546,0.053272697081552876,0.008104882434767716,0.009545926459531378,0.04511647917213247,0.06566063955032492,0.045584676691452004,0.04552032719644753,0.003818574858741232,,0.03664424631120763,0.03671459971744006,0.012832729428644484,0.012557856662322554,0.0054388843167325965,0.0396556934580701,0.039582496755291054,0.036407667081250754,0.037777514902270444,,,0.05502968809910968,0.05401443943720516,0.011314311662359477,0.015609268908745623,0.023305503036374825,0.025165086043688587,0.041519366140964874,0.0416775606990754,0.3343689149971827,0.3324066547992565,0.03098531848232986,0.03286967615405274,,,,0.011672704820177245,0.013100527655361783,,,,,,,,0.12099699900079341,0.1256662503974454,0.03785314754485872,0.05203630631172293,0.038562296521718865,0.039246394605732156,0.03414098007867021,0.03291284438665952,0.0543333284883591,0.05485415664568014,0.17561043009163324,0.17912198323366973,0.043214921470414405,0.043415476056763526,0.16625028943939724,0.16511873525582993,0.04134959567843426,0.04251082025308482,0.031091093979227578,0.02925366465799281,0.03711074385483778,0.03843650886969393,0.3363388973819095,0.2839546434434396,0.27700662149913513,0.277315590797088,0.001718435761052058,0.03928812265281728,0.03982486752532162,0.005438884316732636,0.00447651636846185,,,,0.005149586151782845,,,,,,,,0.0038266872973388047,,0.004536298233491332,0.004514255026772024,,,,,,,,,,,,,0.03619252051487165,0.03802522170958611,,,,,,,,,,,,,,,,,,,,,,,,,0.052699912916981215,,,,,,,0.1897630241450882,0.3196745334957023,0.3525049147413891,0.035385382556358085,0.006545623847504833,0.03418138339083369,0.036547886291347274,0.07991331712867018,0.007764383166360191,,,,,0.015024291694275924,,,,,,0.03895276268318792,,,,0.019647187421577523,,,,0.032329640149726925,,0.04862999418941016,,0.0546161680061156,,0.06115460676658092,0.004431930615374876,,,,,0.004452000664701245,0.03864409504406882,,,,,,,,,,,,,0.005866452707475522,,0.24183452042751322,0.4212375344962539,0.37203001065391156,0.03426558756287867,0.008034832972322926,0.033008237390768184,0.035676820959002535,0.11395749143768243,0.029379026170415854,,,,0.002397387472064621,0.015050170074204597,,,,,,0.037074689222849976,,,,,0.03448469414043492,,,,0.03324653598572401,,0.046224062100274035,,0.020098520548666364,0.0017184357610520607,0.037108513078347984,0.0045252691365973464,,,,,0.0034077281557291705,0.03925352029725556,,,,,,,,,,,0.005655524759264345,,0.0072676194866336885,,0.19285997795110132,0.3303467956900322,0.3806040092664516,0.03392116057293955,0.02726359590880276,0.03304572021582326,0.03506553093843589,0.0024304690944832005,0.1094649054004135,0.031541319005841645,,,,,0.015112087587398166,,,,,,0.03632968418246496,,,,0.025657142695693882,,,,0.029273858984754878,,0.043928350831778165,,0.011988978846949374,,0.07554294958269453,0.004623259005577671,,,0.004806047354515495,0.011979507912765412,,0.0017184357610520605,,,,,,0.0055317166911550576,,0.007380761089362373,,,0.008060956534683217,,,,,,,,,,,,,,0.009264078340658559,,,,,,,0.005908510098963748,,,,,,,0.004493964808660823,,,0.005115266721871573,,,,,0.002430469094483203,,,,,,,,,,,,,,0.005110893209729615,,0.0017184357610520607,,,,,,,,0.040855146142252496,,,,,,,,,,,0.00666445916428381,0.005785531851297136,,,,,,,,,,,,,0.03459941979629388,,,,,,,,,,,,,,,,,
